title,platform,release_date,meta_score,user_score,esrb_rating,developers,genres
Nintendo Countdown Calendar,Nintendo DS,2010-09-20,,,,['Intelligent Systems'],"['Miscellaneous', 'General', 'General']"
Nintendo DS,Nintendo DS,2004-11-20,,8.8,,['Nintendo'],"['Hardware', 'Console']"
Nintendo DS Web Browser,Nintendo DS,2007-06-04,,,,['Opera'],"['Miscellaneous', 'Web Browser', 'Application']"
Nintendo DSi Browser,Nintendo DS,2009-04-05,,,,['Nintendo'],"['Miscellaneous', 'Web Browser', 'Application']"
Nintendo DSi Instrument Tuner,Nintendo DS,2010-03-29,,,E,['Nintendo'],"['Miscellaneous', 'General', 'General']"
Nintendo DSi Metronome,Nintendo DS,2010-03-29,,8.0,E,['Nintendo'],"['Miscellaneous', 'General', 'General']"
Nintendo Letterbox,Nintendo DS,,,,,['Nintendo'],"['Miscellaneous', 'General', 'General', 'Application']"
Nintendo Video,Nintendo 3DS,2011-07-21,,5.9,,['Nintendo'],"['Miscellaneous', 'General', 'General']"
Nintendo Wii,Wii,2006-11-19,,8.1,E,['Nintendo'],"['Hardware', 'Console']"
Nintendogs: Best Friends,Nintendo DS,2005-10-24,,7.7,E,['Nintendo'],"['Simulation', 'Miscellaneous', 'Virtual Life', 'Virtual Life', 'Virtual', 'Pet']"
Paper Mario,Wii,2007-07-16,,8.8,E,['Intelligent Systems'],"['Role-Playing', 'Console-style RPG']"
Phoenix Wright: Ace Attorney Episode 5: Rise From the Ashes,Wii,2010-05-25,,8.0,T,['Capcom'],"['Adventure', 'First-Person', 'Modern']"
Photo Clock,Nintendo DS,2009-05-25,,,,['Nintendo'],"['Miscellaneous', 'General', 'Application']"
Photos with Mario,Nintendo 3DS,2014-05-18,,7.0,E,['Nintendo'],"['Miscellaneous', 'General']"
PictoChat,Nintendo DS,2004-11-21,,8.1,,['Nintendo'],"['Miscellaneous', 'General', 'Application']"
Picture Book Games: Pop-Up Pursuit,Wii,2009-08-17,,,E,['Grounding Inc.'],"['Miscellaneous', 'Board Games', 'Board Games', 'Board / Card Game']"
PictureBook Games: The Royal Bluff,Nintendo DS,2009-10-26,,,E,"['Nintendo', ' Grounding Inc.']","['Miscellaneous', 'Board Games', 'Board Games', 'Board / Card Game']"
Pikmin 4,Wii U,,,,,['Nintendo'],"['Strategy', 'Real-Time', 'General']"
Pilotwings,Wii,2009-12-28,,,E,['Nintendo'],"['Simulation', 'Flight', 'Civilian Plane']"
Pinball,Wii,2006-11-19,,,E,['Nintendo'],"['Miscellaneous', 'Parlor', 'Pinball']"
Poke Transporter,Nintendo 3DS,2014-02-05,,,,['Game Freak'],"['Miscellaneous', 'General', 'Application']"
Pokemon Bank,Nintendo 3DS,2014-02-05,,6.5,E,['Game Freak'],"['Miscellaneous', 'General']"
Pokemon Box: Ruby and Sapphire,GameCube,2004-07-12,,5.3,E,['Nintendo'],"['Miscellaneous', 'General']"
Pokemon HOME,Nintendo Switch,2020-02-11,,2.0,E,['Game Freak'],"['Miscellaneous', 'Application']"
Pokemon Omega Ruby/Alpha Sapphire Double Pack,Nintendo 3DS,2014-11-21,,7.2,E,['Game Freak'],"['Role-Playing', 'Console-style RPG', 'Japanese-Style', 'Trainer']"
Pokemon Puzzle League,Wii,2008-05-05,,7.9,E,['Nintendo'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'Matching']"
Pokemon Shield + Pokemon Shield Expansion Pass,Nintendo Switch,2020-11-06,,6.6,E,['Game Freak'],"['Role-Playing', 'Trainer']"
Pokemon Snap,Wii,2007-12-10,,7.8,E,['Hal'],"['Action', 'General']"
Pokemon Sun and Moon Dual Pack,Nintendo 3DS,2016-11-18,,5.1,E,['Game Freak'],"['Role-Playing', 'Trainer']"
Pokemon Sun and Pokemon Moon Special Demo Version,Nintendo 3DS,2016-10-18,,5.3,,['Game Freak'],"['Role-Playing', 'Trainer']"
Pokemon Sword + Pokemon Sword Expansion Pass,Nintendo Switch,2020-11-06,,6.7,E,['Game Freak'],"['Role-Playing', 'Trainer']"
Pokemon Ultra Sun & Pokemon Ultra Moon Veteran Trainer's Dual Pack,Nintendo 3DS,2017-11-17,,,E,['Game Freak'],"['Role-Playing', 'Trainer']"
Pokken Tournament DX: Battle Pack,Nintendo Switch,2018-01-31,,6.6,,['Bandai Namco Games'],"['Action', 'Fighting', '3D']"
Pro Wrestling,Wii,,,,E,['Nintendo'],"['Action', 'Fighting', 'Wrestling']"
Pro-Putt Domo,Nintendo DS,2009-10-19,,,E,['Suzak'],"['Sports', 'Traditional', 'Individual', 'Golf', 'Arcade', 'Arcade']"
Project Giant Robot,Wii U,,,,,['Nintendo'],"['Action', 'Simulation', 'Fighting', 'Vehicle', '3D', 'Combat']"
Project H.A.M.M.E.R.,Wii,,,,,['Nintendo'],"['Action', ""Beat-'Em-Up"", ""Beat-'Em-Up"", '2D']"
Punch-Out!! Featuring Mr. Dream,Wii,2007-04-16,,8.0,E,['Nintendo'],"['Sports', 'Traditional', 'Boxing']"
Puzzle League Express,Nintendo DS,2009-08-31,,,E,['Nintendo'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'General', 'Puzzle', 'General']"
Rock-n-Roll Domo,Nintendo DS,2009-10-19,,,E,['Suzak'],"['Action', 'Miscellaneous', 'Rhythm', 'Music', 'Music']"
Romance of the Three Kingdoms IV: Wall of Fire,Wii,2007-03-26,,,E,['Koei'],"['Strategy', 'Turn-Based', 'Historic']"
Seasons of Heaven,Nintendo Switch,,,,,['AnyArts Productions'],"['Action Adventure', 'Survival']"
Shining in the Darkness,Wii,2007-08-13,,,E,['Climax Entertainment'],"['Role-Playing', 'First-Person']"
Shockman,Wii,2007-04-30,,,E,['Winds'],"['Action', 'General', 'Platformer', '2D']"
SimCity,Wii,2006-11-19,,,E,['Maxis'],"['Strategy', 'City Building', 'Modern']"
Sin and Punishment,Wii,2007-10-01,,8.5,T,['Treasure'],"['Action', 'General']"
Smash Controller,Nintendo 3DS,2015-06-14,,,,['Nintendo'],"['Miscellaneous', 'Application']"
Snapdots,Nintendo DS,2010-10-18,,,E,['D4 Enterprise'],"['Miscellaneous', 'Puzzle', 'Action', 'Puzzle', 'Puzzle', 'Action']"
Snowpack Park,Wii,2010-11-22,,,E,['Skip Ltd.'],"['Simulation', 'General', 'General']"
Soccer,Wii,2006-11-19,,,E,['Nintendo'],"['Sports', 'Traditional', 'Soccer', 'Sim']"
Sparkle Snapshots,Nintendo DS,2009-11-02,,,,['Nintendo'],"['Miscellaneous', 'Edutainment']"
Splatoon 2: Global Testfire,Nintendo Switch,2017-03-24,,,,['Nintendo'],"['Action', 'Shooter', 'Third-Person', 'Arcade']"
Star Fox 64,Wii,2007-04-02,,7.8,E,['Nintendo'],"['Action', 'Shooter', 'Rail']"
Star Fox Zero Double Pack,Wii U,2016-04-22,,8.0,E10+,"['Nintendo', ' PlatinumGames']","['Miscellaneous', 'Compilation']"
StarTropics,Wii,2008-01-07,,,E,['Nintendo'],"['Action Adventure', 'Modern']"
StarTropics II: Zoda's Revenge,Wii,2008-12-29,,,E,['Nintendo'],"['Action Adventure', 'Modern']"
StreetPass Mii Plaza,Nintendo 3DS,2011-03-27,,7.6,E,['Nintendo'],"['Role-Playing', 'General', 'General']"
Streets of Rage 2,Wii,2007-05-21,,7.4,E,['Sega'],"['Action', ""Beat-'Em-Up""]"
Super Ghouls 'n Ghosts,Wii,2007-03-05,,,E,['Capcom'],"['Action', 'Platformer', '2D']"
Super Mario 3D World + Bowser's Fury,Nintendo Switch,2021-02-12,,,,['Nintendo'],"['Action', 'Platformer', '3D']"
Super Mario 64,Wii,2006-11-19,,8.0,E,['Nintendo'],"['Action', 'Platformer', '3D']"
Super Mario Bros.,Wii,2006-12-25,,8.5,E,['Nintendo'],"['Action', 'Platformer', '2D']"
Super Mario Bros. 2,Wii,2007-07-02,,7.8,E,['Nintendo'],"['Action', 'Platformer', '2D']"
Super Mario Bros. 3,Wii,2007-11-05,,8.7,E,['Nintendo'],"['Action', 'Platformer', '2D']"
Super Mario Bros.: The Lost Levels,Wii,2007-10-01,,6.1,E,['Nintendo'],"['Action', 'Platformer', '2D']"
Super Mario Kart,Wii,2009-11-23,,7.4,E,['Nintendo'],"['Driving', 'Racing', 'Kart']"
Super Mario Land,Nintendo 3DS,,,,,['Nintendo'],"['Action', 'Platformer', '2D']"
Super Mario RPG: Legend of the Seven Stars,Wii,2008-09-01,,8.8,E,['SquareSoft'],"['Role-Playing', 'Console-style RPG']"
Super Mario World,Wii,2007-02-05,,8.7,E,['Nintendo'],"['Action', 'Platformer', '2D']"
Super Metroid,Wii,2007-08-20,,9.2,E,['Nintendo'],"['Action', 'Platformer', '2D']"
Super Punch-Out!!,Wii,2009-03-30,,8.4,E,['Nintendo'],"['Sports', 'Traditional', 'Boxing']"
Super Smash Bros.,Wii,2009-12-21,,7.9,E,['HAL Labs'],"['Action', 'Fighting', '3D']"
Super Smash Bros. Ultimate: Banjo & Kazooie,Nintendo Switch,2019-09-04,,7.8,E10+,['Nintendo'],"['Action', 'Fighting', '2D']"
Super Smash Bros. Ultimate: Byleth,Nintendo Switch,2020-01-28,,6.6,E10+,['Nintendo'],"['Action', 'Fighting', '2D']"
Super Smash Bros. Ultimate: Hero,Nintendo Switch,2019-07-30,,7.8,E10+,['Nintendo'],"['Action', 'Fighting', '2D']"
Super Smash Bros. Ultimate: Joker,Nintendo Switch,2019-04-17,,8.1,E10+,['Nintendo'],"['Action', 'Fighting', '2D']"
Super Smash Bros. Ultimate: Min Min,Nintendo Switch,2020-06-29,,7.8,,['Nintendo'],"['Action', 'Fighting', '2D']"
Super Smash Bros. Ultimate: Piranha Plant,Nintendo Switch,2019-01-29,,7.1,E10+,['Nintendo'],"['Action', 'Fighting', '2D']"
Super Smash Bros. Ultimate: Sephiroth,Nintendo Switch,2020-12-22,,,,['Nintendo'],"['Action', '2D', 'Fighting']"
Super Smash Bros. Ultimate: Steve & Alex,Nintendo Switch,2020-10-13,,9.3,E10+,['Nintendo'],"['Action', 'Fighting', '2D']"
Super Smash Bros. Ultimate: Terry Bogard,Nintendo Switch,2019-11-06,,7.6,E10+,['Nintendo'],"['Action', 'Fighting', '2D']"
Super Smash Bros. for Nintendo 3DS / Wii U: Mewtwo,Nintendo 3DS,2015-04-28,,,,['Bandai Namco Games'],"['Action', 'Fighting', '2D']"
Super Smash Bros. for Nintendo 3DS / Wii U: Mewtwo,Wii U,2015-04-28,,,,['Bandai Namco Games'],"['Action', 'Fighting', '2D']"
Sushi Striker: The Way of Sushido,Nintendo 3DS,2018-06-08,,7.1,E,['indieszero'],"['Puzzle', 'Matching']"
Swapdoodle,Nintendo 3DS,2016-11-17,,,E,['Nintendo'],"['Miscellaneous', 'Application']"
Swapnote,Nintendo 3DS,2011-12-22,,7.1,,['Nintendo'],"['Miscellaneous', 'General', 'General', 'Application']"
Team Kirby Clash,Nintendo 3DS,2016-06-10,,6.4,E,['HAL Labs'],"['Action', 'Fighting', '2D']"
Teddy Together,Nintendo 3DS,2016-07-01,,,,['Arika'],"['Action', 'General']"
Teenage Mutant Ninja Turtles,Wii,2007-04-02,,,E10+,['Magic Pockets'],"['Action', ""Beat-'Em-Up"", ""Beat-'Em-Up"", '2D']"
Tennis,Wii,2006-12-18,,,E,['Nintendo'],"['Sports', 'Traditional', 'Tennis']"
Tetris 99: Big Block,Nintendo Switch,2019-05-10,,6.0,E,['Arika'],"['Puzzle', 'Stacking']"
The Legend of Zelda,Wii,2006-11-19,,8.3,E,['Nintendo'],"['Action Adventure', 'Fantasy']"
The Legend of Zelda: A Link to the Past,Wii,2007-01-22,,8.7,E,['Nintendo'],"['Role-Playing', 'Action RPG']"
The Legend of Zelda: Breath of the Wild - The Champions' Ballad,Wii U,2017-12-07,,8.8,E10+,['Nintendo'],"['Action Adventure', 'Open-World']"
The Legend of Zelda: Breath of the Wild - The Master Trials,Wii U,2017-06-30,,8.6,E10+,['Nintendo'],"['Action Adventure', 'Open-World']"
The Legend of Zelda: Breath of the Wild Sequel,Nintendo Switch,,,,,['Nintendo'],"['Action Adventure', 'Open-World']"
The Legend of Zelda: Link's Awakening DX,Nintendo 3DS,,,,,['Nintendo'],"['Action Adventure', 'Fantasy']"
The Legend of Zelda: Majora's Mask,Wii,2009-05-18,,8.7,E,['Nintendo'],"['Action Adventure', 'Fantasy']"
The Legend of Zelda: Ocarina of Time,Wii,2007-02-26,,8.7,E,['Nintendo'],"['Action Adventure', 'Fantasy']"
The Mysterious Murasame Castle,Nintendo 3DS,2014-08-07,,,,['Nintendo'],"['Action', 'General']"
ToeJam & Earl in Panic on Funkotron,Wii,2007-06-04,,,E,['ToeJam & Earl Productions'],"['Action', 'Platformer', '2D']"
Tokyo Mirage Sessions #FE - EXPedition Hunter,Wii U,2016-06-24,,,T,['Atlus'],"['Role-Playing', 'Japanese-Style']"
Tokyo Mirage Sessions #FE - Masterful Hunter,Wii U,2016-06-24,,,T,['Atlus'],"['Role-Playing', 'Japanese-Style']"
Tokyo Mirage Sessions #FE - Savage Hunter,Wii U,2016-06-24,,,T,['Atlus'],"['Role-Playing', 'Japanese-Style']"
Tokyo Mirage Sessions #FE - Tokyo Millennium Collection,Wii U,2016-06-24,,,T,['Atlus'],"['Role-Playing', 'Japanese-Style']"
Touch Solitaire,Nintendo DS,2010-01-11,,,E,['Nintendo'],"['Miscellaneous', 'Board Games', 'Board Games']"
True Swing Golf Express,Nintendo DS,2010-02-01,,,E,['T&E Soft'],"['Sports', 'Traditional', 'Golf', 'Sim', 'Sim']"
Urban Champion,Wii,2007-01-01,,,E,['Nintendo'],"['Action', 'Fighting', '2D']"
Vegas Stakes,Wii,2007-11-26,,,E,['Hal'],"['Miscellaneous', 'Parlor', 'Gambling']"
Volleyball,Wii,2007-11-12,,,E,['Nintendo'],"['Sports', 'Traditional', 'Volleyball']"
Wario's Woods,Wii,2006-11-19,,,E,['Nintendo'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'General']"
Wave Race 64,Wii,2007-08-06,,8.3,E,['Nintendo'],"['Driving', 'Racing', 'Snow / Water']"
White-Water Domo,Nintendo DS,2009-10-19,,,E,['Suzak'],"['Driving', 'Racing', 'Arcade', 'Snow / Water', 'Other', 'Snow / Water']"
Wii Channels,Wii,2006-11-19,,,,['Nintendo'],"['Miscellaneous', 'Web Browser', 'Application']"
Wii Sports/Wii Sports Resort,Wii,2012-10-15,,8.8,E,['Nintendo'],"['Miscellaneous', 'Compilation', 'Compilation']"
Wii Street U,Wii U,2013-02-14,,5.9,,['Nintendo'],"['Miscellaneous', 'General', 'Application']"
Wii U Panorama View,Wii U,2013-04-26,,5.4,E,['Nintendo'],"['Miscellaneous', 'General', 'General']"
Wii U Play,Wii U,,,,RP,['Nintendo'],"['Miscellaneous', 'Party', 'Party / Minigame']"
World Sports Competition,Wii,2007-06-18,,,E,['Hudson Soft'],"['Sports', 'General']"
Wrecking Crew,Wii,2007-11-19,,,E,['Nintendo'],"['Action', 'Platformer', '2D']"
Xenoblade Chronicles 2: Battle Challenge Mode Pack,Nintendo Switch,2018-06-13,,,T,['Monolith Soft'],"['Role-Playing', 'Action RPG']"
Xenoblade Chronicles 2: New Quests Pack 1,Nintendo Switch,2018-01-30,,7.2,,['Monolith Soft'],"['Role-Playing', 'Action RPG']"
Xenoblade Chronicles 2: New Quests Pack 2,Nintendo Switch,2018-03-30,,,T,['Monolith Soft'],"['Role-Playing', 'Action RPG']"
Xenoblade Chronicles 2: New Quests Pack 3,Nintendo Switch,2018-05-25,,,T,['Monolith Soft'],"['Role-Playing', 'Action RPG']"
Xenoblade Chronicles 2: New Quests Pack 4,Nintendo Switch,2018-07-26,,,,['Monolith Soft'],"['Role-Playing', 'Action RPG']"
Yo-kai Watch 4,Nintendo Switch,,,,E10+,['Level 5'],"['Role-Playing', 'Trainer']"
Yo-kai Watch Blasters: Moon Rabbit Crew,Nintendo 3DS,2018-09-27,,,E10+,['Level 5'],"['Action', ""Beat-'Em-Up"", '3D']"
Yoshi,Wii,2007-07-09,,,E,['Nintendo'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'General']"
Yoshi's Cookie,Wii,2008-04-07,,,E,['Bullet Proof Software'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'General']"
Yoshi's Story,Wii,2007-09-17,,,E,['Nintendo'],"['Action', 'Platformer', '2D']"
Zelda II: The Adventure of Link,Wii,2007-06-04,,7.1,E,['Nintendo'],"['Role-Playing', 'Action RPG']"
Zero: Tsukihami no Kamen,Wii,,,,,['Grasshopper Manufacture'],"['Action Adventure', 'Horror', 'Survival']"
amiibo Tap: Nintendo's Greatest Bits,Wii U,2015-04-30,,7.6,E,['Nintendo'],"['Miscellaneous', 'Application']"
