title,platform,release_date,meta_score,user_score,esrb_rating,developers,genres
Tank Troopers,Nintendo 3DS,2017-02-16,64.0,5.8,E,['Nintendo'],"['Simulation', 'Vehicle', 'Combat']"
Yoshi's New Island,Nintendo 3DS,2014-03-14,64.0,6.2,E,['Arzest'],"['Action', 'Platformer', '2D']"
Diddy Kong Racing DS,Nintendo DS,2007-02-05,63.0,7.2,E,['Rare Ltd.'],"['Driving', 'Racing', 'Arcade', 'Kart', 'Other', 'Kart']"
Fire Emblem: Shadow Dragon & the Blade of Light,Nintendo Switch,2020-12-04,63.0,7.6,E,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Tactics']"
"Freakyforms Deluxe: Your Creations, Alive!",Nintendo 3DS,2012-11-05,63.0,7.5,E,"['Asobism', ' Co. ltd.']","['Miscellaneous', 'General', 'General']"
Personal Trainer: Math,Nintendo DS,2009-01-13,63.0,,E,['Jupiter Corporation'],"['Miscellaneous', 'Edutainment', 'Edutainment']"
Wii Music,Wii,2008-10-20,63.0,4.7,E,['Nintendo'],"['Action', 'Miscellaneous', 'Rhythm', 'Music', 'Music']"
Go Vacation,Nintendo Switch,2018-07-27,62.0,7.8,E,['Bandai Namco Games'],"['Miscellaneous', 'Party / Minigame']"
Kersploosh!,Nintendo 3DS,2013-03-07,62.0,7.0,E,['Poisoft'],"['Miscellaneous', 'General', 'General']"
LEGO City Undercover: The Chase Begins,Nintendo 3DS,2013-04-21,62.0,6.6,E10+,"[""Traveller's Tales""]","['Action Adventure', 'Fantasy', 'General', 'Fantasy']"
Mario Party 8,Wii,2007-05-29,62.0,6.4,E,['Hudson'],"['Miscellaneous', 'Party', 'Party', 'Party / Minigame']"
Mario Pinball Land,Game Boy Advance,2004-10-04,62.0,4.5,E,['Fuse Games Limited'],"['Miscellaneous', 'Parlor', 'Pinball']"
Mario Sports Superstars,Nintendo 3DS,2017-03-24,62.0,7.4,E,"['Nintendo', ' Camelot Software Planning']","['Sports', 'General']"
Metal Torrent,Nintendo DS,2010-05-24,62.0,9.7,E,['Arika'],"['Action', 'Shooter', 'Shooter', 'Scrolling', 'Scrolling', ""Shoot-'Em-Up"", 'Vertical']"
Odama,GameCube,2006-04-10,62.0,8.0,E10+,['Vivarium'],"['Miscellaneous', 'Parlor', 'Pinball']"
PokePark Wii: Pikachu's Adventure,Wii,2010-11-02,62.0,7.5,E,['Creatures Inc.'],"['Action Adventure', 'Adventure', 'General', 'Fantasy', 'General', 'Fantasy']"
Pokemon Mystery Dungeon: Blue Rescue Team,Nintendo DS,2006-09-18,62.0,8.1,E,['ChunSoft'],"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Roguelike']"
Sudoku Gridmaster,Nintendo DS,2006-06-26,62.0,6.3,E,['AI'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'Puzzle', 'Logic', 'Logic']"
Game & Wario,Wii U,2013-06-23,61.0,6.5,E,['Intelligent Systems'],"['Miscellaneous', 'Party', 'Party', 'Party / Minigame']"
Kirby Air Ride,GameCube,2003-10-13,61.0,8.2,E,['HAL Labs'],"['Driving', 'Racing', 'Kart']"
Mario & Sonic at the Rio 2016 Olympic Games,Nintendo 3DS,2016-03-18,60.0,6.9,E10+,"['Nintendo', ' Sega Sports R&D']","['Sports', 'Individual', 'Athletics']"
PokePark 2: Wonders Beyond,Wii,2012-02-27,60.0,7.6,E,['Creatures Inc.'],"['Action Adventure', 'Adventure', 'General', 'Fantasy', 'General', 'Fantasy']"
Pokemon Mystery Dungeon: Explorers of Time,Nintendo DS,2008-04-20,60.0,8.5,E,['ChunSoft'],"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Roguelike']"
SiNG Party,Wii U,2012-11-18,60.0,5.5,E10+,['FreeStyleGames'],"['Action', 'Miscellaneous', 'Rhythm', 'Music', 'Music']"
Wario: Master of Disguise,Nintendo DS,2007-03-05,60.0,7.4,E10+,['Suzak'],"['Action', 'General', 'Platformer', 'Platformer', '2D', '2D']"
Wii Play: Motion,Wii,2011-06-13,60.0,6.6,E10+,"['Nintendo', ' Good-Feel']","['Miscellaneous', 'Party', 'Party', 'Party / Minigame']"
Yoshi Topsy-Turvy,Game Boy Advance,2005-06-13,60.0,6.8,E,['Artoon'],"['Action', 'Platformer', '2D']"
Chibi-Robo! Zip Lash,Nintendo 3DS,2015-10-09,59.0,5.7,E,"['Nintendo', ' Skip Ltd.']","['Action', 'Platformer', '2D']"
Flash Focus: Vision Training in Minutes a Day,Nintendo DS,2007-10-15,59.0,4.4,E,"['Nintendo', ' Namco Bandai Games']","['Miscellaneous', 'Edutainment', 'Edutainment']"
Inazuma Eleven Strikers,Wii,2012-09-28,59.0,8.0,,['Level 5'],"['Sports', 'General']"
Mario Party: The Top 100,Nintendo 3DS,2017-11-10,59.0,6.5,E,"['Nintendo', ' Nd Cube']","['Miscellaneous', 'Party / Minigame']"
Pokedex 3D Pro,Nintendo 3DS,2012-11-08,59.0,4.3,E,['Creatures Inc.'],"['Miscellaneous', 'General', 'General', 'Application']"
Pokemon Mystery Dungeon: Explorers of Darkness,Nintendo DS,2008-04-20,59.0,8.5,E,['ChunSoft'],"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Roguelike']"
Pokemon Mystery Dungeon: Gates to Infinity,Nintendo 3DS,2013-03-24,59.0,6.3,E,"['Nintendo', ' Spike Chunsoft']","['General', 'Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Roguelike']"
Pokemon Rumble,Wii,2009-11-16,59.0,8.3,E10+,['Ambrella'],"['Action', ""Beat-'Em-Up"", ""Beat-'Em-Up"", '2D', '3D']"
1-2-Switch,Nintendo Switch,2017-03-03,58.0,4.8,E10+,['Nintendo'],"['Miscellaneous', 'Party / Minigame']"
Classic NES Series: Metroid,Game Boy Advance,2004-10-25,58.0,8.3,E,['Nintendo'],"['Action Adventure', 'Sci-Fi']"
Mario Tennis: Ultra Smash,Wii U,2015-11-20,58.0,5.2,E,"['Nintendo', ' Camelot Software Planning']","['Sports', 'Individual', 'Tennis']"
Pokemon Rumble World,Nintendo 3DS,2015-04-08,58.0,6.1,E10+,"['Ambrella', ' The Pokemon Company']","['Action', 'General', ""Beat-'Em-Up"", '3D']"
Steel Diver,Nintendo 3DS,2011-03-27,58.0,6.3,E10+,"['Nintendo', ' Vitei']","['Action', 'Simulation', 'General', 'Submarine', 'Submarine', 'Marine', 'Combat']"
Wii Play,Wii,2007-02-12,58.0,6.5,E,['Nintendo'],"['Miscellaneous', 'Party', 'Party', 'Party / Minigame']"
Fossil Fighters: Frontier,Nintendo 3DS,2015-03-20,57.0,5.1,E10+,"['RED Entertainment', ' Spike Chunsoft']","['Role-Playing', 'General', 'Trainer']"
"Hey You, Pikachu!",Nintendo 64,2000-11-05,57.0,6.4,E,['Ambrella'],"['Adventure', 'General']"
Kirby Battle Royale,Nintendo 3DS,2018-01-19,57.0,7.1,E10+,"['Nintendo', ' HAL Labs']","['Miscellaneous', 'Party / Minigame']"
Mario Party: Island Tour,Nintendo 3DS,2013-11-22,57.0,6.0,E,"['Nintendo', ' Nd Cube']","['Party', 'Miscellaneous', 'Party', 'Party / Minigame']"
