title,platform,date,meta_score,user_score,esrb_rating,developers,genres
Nintendo Labo Toy-Con 04: VR套裝 輕量版（僅附火箭筒）,Nintendo Switch,2019-04-12,,,,Nintendo,['Puzzle']
耀西的手工世界,Nintendo Switch,2019-03-29,,,,Nintendo,['Platformer']
Super Smash Bros. Ultimate,Nintendo Switch,2018-12-07,93.0,8.6,E10+,Nintendo,"['Action', 'Fighting', '2D']"
精靈寶可夢 Let's Go！皮卡丘,Nintendo Switch,2018-11-16,,,,Nintendo,['RPG']
進め！キノピオ隊長 體驗版,Nintendo Switch,2018-06-20,,,,Nintendo,['Platformer']
Pokemon Quest,Nintendo Switch,2018-06-01,64.0,6.5,E,Nintendo,"['Role-Playing', 'Action RPG']"
Splatoon™ 2 (美版),Nintendo Switch,2018-04-03,,,,Nintendo,['Shooter']
瑪利歐 + 瘋狂兔子 王國之戰 (日中版),Nintendo Switch,2018-04-03,,,,Nintendo,['Adventure']
星之卡比 新星同盟 體驗版,Nintendo Switch,2018-04-03,,,,Nintendo,['Platformer']
ポッ拳　POKKÉN TOURNAMENT DX 體驗版,Nintendo Switch,2018-04-03,,,,Nintendo,['Fighting']
Kirby Star Allies,Nintendo Switch,2018-03-16,73.0,7.5,E10+,Nintendo,"['Action', 'Platformer', '2D']"
Xenoblade Chronicles 2,Nintendo Switch,2017-12-01,83.0,8.7,T,Nintendo,"['Role-Playing', 'Action RPG']"
Super Mario Odyssey,Nintendo Switch,2017-10-27,97.0,8.9,E10+,Nintendo,"['Action', 'Platformer', '3D']"
The Legend of Zelda: Breath of the Wild,Nintendo Switch,2017-03-03,97.0,8.7,E10+,Nintendo,"['Action Adventure', 'Open-World']"
